ID,Site,Context,Longitude,Latitude,Country,Archaeological_Unit,File_Name,Reference,Notes
90,Lipa,Lipa,25.13,50.44,Ukraine,Krasnosillya,Lip.1,Zaliznyak 1999,
91,Liutka,Liutka (B),24.32,51.56,Ukraine,Krasnosillya,Liu.B.1,Zaliznyak 1999,
92,Liutka,Liutka (B),24.32,51.56,Ukraine,Krasnosillya,Liu.B.2,Zaliznyak 1999,
93,Liutka,Liutka (B),24.32,51.56,Ukraine,Krasnosillya,Liu.B.3,Zaliznyak 1999,
94,Liutka,Liutka (B),24.32,51.56,Ukraine,Krasnosillya,Liu.B.4,Zaliznyak 1999,
95,Liutka,Liutka (B),24.32,51.56,Ukraine,Krasnosillya,Liu.B.5,Zaliznyak 1999,
96,Maćkowa Ruda,Maćkowa Ruda (3),23.18,54.05,Poland,Wolkushian,Ma-Ru3.1,Szymczak 1995,
97,Marcinkonys,Marcinkonys (1),24.38,54.06,Lithuania,Baltic Magdalenian,Marc1.1,Rimantienė 1971; 1974,
98,Margių,Margių (1),24.7,54.04,Lithuania,Bromme (Eastern Europe),Mar1.1,Šatavičius 2004,
99,Margių,Margių (1),24.7,54.04,Lithuania,Bromme (Eastern Europe),Mar1.3,Šatavičius 2004,
100,Margių,Margių (1),24.7,54.04,Lithuania,Bromme (Eastern Europe),Mar1.4,Šatavičius 2004,
101,Maskauka,Maskauka (6),24.62,54.29,Lithuania,Baltic Magdalenian,Mas6.1,Rimantienė 1971; 1974,
102,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.5,Rimantienė 1971; 1974,
103,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.6,Rimantienė 1971; 1974,
104,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.7,Rimantienė 1971; 1974,
105,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.8,Rimantienė 1971; 1974,
