ID,Site,Context,Longitude,Latitude,Country,Archaeological_Unit,File_Name,Reference,Notes
175,Hjarup Mose,Hjarup Mose,13.12,55.67,Denmark,Bromme (Western Europe),Hja.Mo.1,Andersen 1977,
176,Hjarup Mose,Hjarup Mose,13.12,55.67,Denmark,Bromme (Western Europe),Hja.Mo.2,Andersen 1977,
177,Hjarup Mose,Hjarup Mose,13.12,55.67,Denmark,Bromme (Western Europe),Hja.Mo.4,Andersen 1977,
178,Hjarup Mose,Hjarup Mose,13.12,55.67,Denmark,Bromme (Western Europe),Hja.Mo.5,Andersen 1977,
179,Rolykkevej,Rolykkevej (HBV 189),9.27,55.48,Denmark,Bromme (Western Europe),HBV189.1,Riede et al. 2011,
180,Rundebakke,Rundebakke,11.78,55.05,Denmark,Bromme (Western Europe),Rundebakke.1,Fischer 1988,
181,Sassenholz,Sassenholz (78),9.31,53.35,Germany,Bromme (Western Europe),Sas.78.1,Breest and Gerken 2008,
182,Sassenholz,Sassenholz (78),9.31,53.35,Germany,Bromme (Western Europe),Sas.78.6,Breest and Gerken 2008,
183,Sassenholz,Sassenholz (78),9.31,53.35,Germany,Bromme (Western Europe),Sas.78.7,Breest and Gerken 2008,
184,Sassenholz,Sassenholz (78),9.31,53.35,Germany,Bromme (Western Europe),Sas.78.8,Breest and Gerken 2008,
185,Sassenholz,Sassenholz (78),9.31,53.35,Germany,Bromme (Western Europe),Sas.78.9,Breest and Gerken 2008,
186,Sassenholz,Sassenholz (78),9.31,53.35,Germany,Bromme (Western Europe),Sas.78.10,Breest and Gerken 2008,
187,Sassenholz,Sassenholz (78),9.31,53.35,Germany,Bromme (Western Europe),Sas.78.11,Breest and Gerken 2008,
188,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.2,Breest and Gerken 2008,
189,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.3,Breest and Gerken 2008,
190,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.4,Breest and Gerken 2008,
191,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.5,Breest and Gerken 2008,
192,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.6,Breest and Gerken 2008,
193,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.7,Breest and Gerken 2008,
194,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.8,Breest and Gerken 2008,
195,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.9,Breest and Gerken 2008,
