model,sex
MRH14_111_L_NB,F
MRH14_115_L_NB,F
MRH14_117_L_NB,F
MRH14_119_L_NB,M
MRH14_121_L_NB,M
MRH14_139_L_NB,F
MRH14_153_L_NB,F
MRH14_166_L_NB,M
MRH14_168_L_NB,F
MRH14_186_L_NB,F
MRH14_202_L_NB,M
MRH14_240_L_NB,M
MRH14_28_L_NB,F
MRH14_29_L_NB,M
MRH14_34_L_NB,M
MRH14_47_L_NB,M
MRH14_83_L_NB,M
MRH14_84_L_NB,F
MRH14_89_L_NB,F
MRH14_93_L_NB,F
MRH14_99_L_NB,F
